Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
Splitting work and school and parent responsibilities;juggling multiple roles ;juggling multiple roles;;juggling multiple roles;;;;;;;
Trying to teach and be a parent at the same time.;balancing parenting and teaching ;balancing parenting and school;;balancing parenting and schooling;;;;;;;
We miss play dates with our homeschool group and being out on field trips.;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Not able to go out for play dates. Not able to to go to libraries or other playgrounds (indoor and outdoors) to take her play.;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Being cooped up 24-7! Being isolated from friends. Being isolated from the usual medical resources.;"isolation/confinement; access to resources";"isolation/confinement; access to resources";;"confinement; accessing services";;;;;;;
There. Are. No. Breaks.  I find myself zoning out so often, because my brain hasnt had a break in so long.;no alone time;no alone time;;no alone time;;;;;;;
Being able to focus on my work, when my child is around.;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Balancing time, not having alone time, lack of adult interaction, lack of routine.;"no lone time; routine changes";"no alone time; juggling multiple roles; routine changes; isolation/confinement";;"no alone time; routine changes; juggline mulltiple roles; isolation";;;;;;;
Not knowing;uncertainty;uncertainty;;uncertainty;;;;;;;
No childcare, work loss stress;"childcare/school closure; employment changes; financial concerns ";"childcare/school closures; employment changes; financial concerns";;"childcare and school closures; employment changes; financial and resource concerns";;;;;;;
Feeling like I need a break from my kids. Feeling guilty about wanting a break from my kids. Feeling sad that my kids don't have their usual social and educational outlets and that their brains aren't being challenged in the same way as when they are in school. Feeling sad that we haven't gotten to participate in fun trips or other activities we had planned. Feeling guilty about allowing my kids so much extra screen time...but at the same time it's the only thing that gives me a break and provides some peace and quiet in the house.;"no alone time; parenting guilt; children's development?; isolation/confinement; excessive screentime";"no alone time; parenting guilt; kids socialization isolation/confinement; excessive screen time";;"no alone time; parenting guilt; kid socialization; excessive screentime; isolation";;;;;;;
My partner's anxiety issues have been massively exacerbated at a time when there's little support and it's easy for them to make excuses to not seek out what is available. It creates difficulties for me in that, one, they are sometimes too anxious to even participate in our lives, and two, that they make parenting decisions based on their anxiety and I have to decide whether to go along for the sake of not highlighting divisions between us, or be the rational foil for the sake of our child's development.;"partner well-being?;coparenting conflict";"partner's well-being?; martial/coparenting tension/conflict";;"parent wellbeing; couple conflict";;;;;;;
School work with a child with an IEP;schooling;schooling;;schooling;;;;;;;
Schoolwork and keeping the kids occupied while working in the home;"schooling; balancing work and schooling";"balancing work and schooling; schooling";;"balancing work and schooling; schooling";;;;;;;
balancing work and school work for kiddo;balancing work and schooling ;balancing work and schooling;;balancing work and schooling;;;;;;;
When my husband was sick with Covid19 it was hard to know if I should take him to the ER and leave my kids home or take them with as I didn’t want to expose my parents. They are a little too young to be home alone but what is more safe?  Also home schooling is hard because my kids miss their friends and don’t like working independently.;"covid worries; schooling; maybe isolation/confinement";"covid worries; schooling; isolation/confinement or kids socialization";;"covid worries; schooling; kids socialization";;;;;;;
